PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
TOI-5786 b                    ,  0.230,  0.762,     12.8,0.000, 90.0,  0.0,  0.0,1234.8,1038.3,1234.8,1038.3,  1.156,  1.465,  2.556,  2.696
TOI-5799 b                    ,       ,  0.166,      4.2,0.000, 90.0,  0.0,  0.0, 632.9, 532.2, 632.9, 532.2,  0.104,  0.132,  0.256,  0.270
TOI-5803 b                    ,       ,  0.292,      5.4,0.000, 90.0,  0.0,  0.0,1073.0, 902.3,1073.0, 902.3,  0.469,  0.594,  1.069,  1.127
TOI-6002 b                    ,       ,  0.147,     10.9,0.150,200.0,  0.0, 32.3, 414.8, 348.8, 356.6, 299.9,  0.063,  0.079,  0.156,  0.165
TOI-6008 b                    ,  0.013,  0.092,      0.9,0.000, 90.0,  0.0,  0.0, 835.0, 702.2, 835.0, 702.2,  0.056,  0.071,  0.141,  0.149
TOI-6016 b                    ,  1.170,  1.220,      4.0,0.000, 90.0,  0.0,  0.0,1841.5,1548.5,1841.5,1548.5,  1.250,  1.584,  2.771,  2.923
TOI-6029 b                    ,  1.635,  1.284,      5.8,0.091, 90.0,  0.0,  0.0,2036.2,1712.2,1858.6,1562.9,  1.833,  2.322,  4.054,  4.276
TOI-6034 b                    ,  0.798,  1.063,      2.6,0.040,326.0,  0.0,  0.0, 877.6, 738.0, 843.2, 709.0,  0.162,  0.206,  0.397,  0.418
TOI-6038 A b                  ,  0.247,  0.572,      5.8,0.000, 90.0,  0.0,  0.0,1713.5,1440.9,1713.5,1440.9,  1.358,  1.720,  3.010,  3.175
TOI-6054.01                   ,       ,  0.236,      7.5,0.000, 90.0,  0.0,  0.0,1587.9,1335.3,1587.9,1335.3,  1.327,  1.681,  2.940,  3.101
TOI-6054.02                   ,       ,  0.256,     12.6,0.000, 90.0,  0.0,  0.0,1336.2,1123.6,1336.2,1123.6,  1.327,  1.681,  2.940,  3.101
